Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP002624,Male,Yes,0,Graduate,No,20833,6667,480,360,NA,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,NA,1,Urban,Y
LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,NA,Rural,Y
LP002315,Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,N
LP002600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Y
LP001443,Female,No,0,Graduate,No,3692,0,93,360,NA,Rural,Y
LP001644,NA,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
LP002237,Male,No,1,Graduate,NA,3667,0,113,180,1,Urban,Y
LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
LP002103,NA,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
LP002142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
LP002772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
LP002263,Male,Yes,0,Graduate,No,2583,2115,120,360,NA,Urban,Y
LP001854,Male,Yes,3+,Graduate,No,5250,0,94,360,1,Urban,N
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
LP002778,Male,Yes,2,Graduate,Yes,6633,0,NA,360,0,Rural,N
LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,NA,Rural,Y
LP002050,Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP002741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y
LP002888,Male,No,0,Graduate,NA,3182,2917,161,360,1,Urban,Y
LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y
LP002296,Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,NA,Rural,Y
LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Y
LP002536,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Rural,Y
LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Y
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
LP001585,NA,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
LP002272,Male,Yes,2,Graduate,No,3276,484,135,360,NA,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y
LP002219,Male,Yes,3+,Graduate,No,8750,4996,130,360,1,Rural,Y
LP002226,Male,Yes,0,Graduate,NA,3333,2500,128,360,1,Semiurban,Y
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
LP002223,Male,Yes,0,Graduate,No,4310,0,130,360,NA,Semiurban,Y
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP002894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,Y
LP002024,NA,Yes,0,Graduate,No,2473,1843,159,360,1,Rural,N
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
LP001945,Female,No,NA,Graduate,No,5417,0,143,480,0,Urban,N
LP002065,Male,Yes,3+,Graduate,No,15000,0,300,360,1,Rural,Y
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
LP002792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
LP002530,NA,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,N
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,NA,1,Urban,Y
LP002533,Male,Yes,2,Graduate,No,2947,1603,NA,360,1,Urban,N
LP002925,NA,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Y
LP002055,Female,No,0,Graduate,No,3166,2985,132,360,NA,Rural,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
